Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A060WAS8	A0A060WAS8_ONCMY	CRK like proto-oncogene, adaptor protein	GSONMT00070483001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	311	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A060WMG6	A0A060WMG6_ONCMY	ELMO domain-containing protein	GSONMT00073880001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	723	DOMAIN 319..488; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A060WST0	A0A060WST0_ONCMY	Adapter molecule crk-like	GSONMT00024499001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	323	
A0A060X6V7	A0A060X6V7_ONCMY	V-crk avian sarcoma virus CT10 oncogene homolog	GSONMT00062637001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	308	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 239..300; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A060Y2H3	A0A060Y2H3_ONCMY	V-crk avian sarcoma virus CT10 oncogene homolog-like	GSONMT00014226001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	304	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A060YHL6	A0A060YHL6_ONCMY	Adapter molecule crk-like	GSONMT00016358001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	313	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 136..196; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 245..306; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A060ZDM9	A0A060ZDM9_ONCMY	ELMO domain-containing protein	GSONMT00022569001	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	367	DOMAIN 53..222; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A061AF35	A0A061AF35_RHOTO	RHTO0S01e16248g1_1	RHTO0S_01e16248g	Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis)	787	DOMAIN 348..502; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A061HCY8	A0A061HCY8_9BASI	ELMO domain-containing protein	PFL1_03764	Pseudozyma flocculosa PF-1	844	DOMAIN 394..559; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A061HHW2	A0A061HHW2_BLUGR	Bgt-3140	BGT96224_3140 BGT96224V2_LOCUS2560	Blumeria graminis f. sp. tritici 96224	697	DOMAIN 256..436; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A061IAE1	A0A061IAE1_CRIGR	Engulfment and cell motility 3 (Engulfment and cell motility protein 3)	H671_3g11282	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A063BWF2	A0A063BWF2_USTVR	ELMO domain-containing protein	UV8b_03938 UVI_02004450	Ustilaginoidea virens (Rice false smut fungus) (Villosiclava virens)	731	DOMAIN 262..442; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A066VG56	A0A066VG56_TILAU	ELMO domain-containing protein	K437DRAFT_291531	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	1123	DOMAIN 660..843; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A066X9D8	A0A066X9D8_COLSU	Putative ELMO/CED-12 family protein	CSUB01_07701	Colletotrichum sublineola (Sorghum anthracnose fungus)	716	DOMAIN 256..441; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067CFZ7	A0A067CFZ7_SAPPC	PH domain-containing protein	SPRG_05970	Saprolegnia parasitica (strain CBS 223.65)	804	DOMAIN 181..294; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 566..771; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067MM94	A0A067MM94_9AGAM	ELMO domain-containing protein	BOTBODRAFT_33884	Botryobasidium botryosum FD-172 SS1	768	DOMAIN 340..495; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067NF22	A0A067NF22_PLEOS	ELMO domain-containing protein	PLEOSDRAFT_1065963	Pleurotus ostreatus PC15	816	DOMAIN 381..555; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067QCY3	A0A067QCY3_9AGAM	ELMO domain-containing protein	JAAARDRAFT_190152	Jaapia argillacea MUCL 33604	766	DOMAIN 369..521; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067QKS4	A0A067QKS4_ZOONE	Engulfment and cell motility protein 1	L798_00862	Zootermopsis nevadensis (Dampwood termite)	722	DOMAIN 125..270; /note="DUF3361"; /evidence="ECO:0000259|Pfam:PF11841"; DOMAIN 374..475; /note="ELMO"; /evidence="ECO:0000259|Pfam:PF04727"; DOMAIN 545..671; /note="PH"; /evidence="ECO:0000259|Pfam:PF16457"
A0A067QYM9	A0A067QYM9_ZOONE	Engulfment and cell motility protein 1	L798_11184	Zootermopsis nevadensis (Dampwood termite)	729	DOMAIN 320..493; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A067R420	A0A067R420_ZOONE	Adapter molecule Crk	L798_11905	Zootermopsis nevadensis (Dampwood termite)	219	DOMAIN 55..115; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 149..210; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A067TE73	A0A067TE73_GALM3	ELMO domain-containing protein	GALMADRAFT_222250	Galerina marginata (strain CBS 339.88)	767	DOMAIN 357..512; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A068RFR3	A0A068RFR3_9FUNG	Related to engulfment and cell motility gene 1protein	LCOR_00296.1	Lichtheimia corymbifera JMRC:FSU:9682	712	DOMAIN 268..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A068RHE6	A0A068RHE6_9FUNG	Related to engulfment and cell motility gene 1protein	LCOR_00179.1	Lichtheimia corymbifera JMRC:FSU:9682	665	DOMAIN 253..405; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A068WIN4	A0A068WIN4_ECHGR	Proto oncogene crk	EgrG_001024300	Echinococcus granulosus (Hydatid tapeworm)	74	
A0A068YGT9	A0A068YGT9_ECHMU	Proto oncolocus tag crk	EmuJ_001024300	Echinococcus multilocularis (Fox tapeworm)	74	
A0A069DR22	A0A069DR22_9HEMI	Putative crk family adapter		Panstrongylus megistus	264	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 200..261; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A072PUJ5	A0A072PUJ5_9EURO	ELMO domain-containing protein	A1O9_01727	Exophiala aquamarina CBS 119918	946	DOMAIN 475..653; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A074VWB6	A0A074VWB6_9PEZI	ELMO domain-containing protein	M437DRAFT_44310	Aureobasidium melanogenum CBS 110374	677	DOMAIN 243..417; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A074WQJ8	A0A074WQJ8_9PEZI	ELMO domain-containing protein	M436DRAFT_70935	Aureobasidium namibiae CBS 147.97	691	DOMAIN 243..415; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A074XKM5	A0A074XKM5_AURPU	ELMO domain-containing protein	M438DRAFT_210352	Aureobasidium pullulans EXF-150	696	DOMAIN 248..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A074YEJ5	A0A074YEJ5_AURSE	ELMO domain-containing protein	AUEXF2481DRAFT_4461	Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)	692	DOMAIN 243..415; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A074ZCR3	A0A074ZCR3_9TREM	Adapter molecule Crk	T265_10594	Opisthorchis viverrini	333	DOMAIN 98..185; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 185..245; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 271..333; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A077R793	A0A077R793_9BASI	Related to Engulfment and cell motility gene 1 protein		Melanopsichium pennsylvanicum 4	818	DOMAIN 368..539; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A077W9T1	A0A077W9T1_9FUNG	ELMO domain-containing protein	LRAMOSA00937	Lichtheimia ramosa	708	DOMAIN 264..416; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A077WBV9	A0A077WBV9_9FUNG	ELMO domain-containing protein	LRAMOSA01040	Lichtheimia ramosa	663	DOMAIN 253..405; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A077Z0Q7	A0A077Z0Q7_TRITR	Adapter molecule Crk	TTRE_0000182901	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	293	DOMAIN 27..124; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 126..186; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 225..286; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A080ZRP7	A0A080ZRP7_PHYPR	PH domain-containing protein	F444_14080	Phytophthora parasitica P1976	883	DOMAIN 253..357; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 632..834; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A080ZRP9	A0A080ZRP9_PHYPR	PH domain-containing protein	F444_14080	Phytophthora parasitica P1976	821	DOMAIN 253..357; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 632..821; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A081CIT1	A0A081CIT1_PSEA2	Elmo ced-12 family protein (Related to Engulfment and cell motility gene 1 protein)	PAN0_013c4800 PSANT_05314	Pseudozyma antarctica (Yeast) (Candida antarctica)	818	DOMAIN 369..543; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A084AQN8	A0A084AQN8_STACB	ELMO domain-containing protein	S7711_07814	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	714	DOMAIN 265..451; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A084QBU7	A0A084QBU7_STAC4	ELMO domain-containing protein	S40285_03406	Stachybotrys chlorohalonata (strain IBT 40285)	713	DOMAIN 265..451; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A084RAB1	A0A084RAB1_STACH	ELMO domain-containing protein	S40288_08243	Stachybotrys chartarum IBT 40288	714	DOMAIN 265..451; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A084VPI1	A0A084VPI1_ANOSI	Adapter molecule Crk	ZHAS_00007251	Anopheles sinensis (Mosquito)	267	DOMAIN 12..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 206..267; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A084VY71	A0A084VY71_ANOSI	AGAP009236-PA-like protein	ZHAS_00010701	Anopheles sinensis (Mosquito)	712	DOMAIN 306..478; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A085M4N7	A0A085M4N7_9BILA	ELMO domain-containing protein	M513_06896	Trichuris suis (pig whipworm)	991	DOMAIN 350..515; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A085NEA1	A0A085NEA1_9BILA	Variant SH3 domain protein	D918_08669 M513_07530 M514_07530	Trichuris suis (pig whipworm)	291	DOMAIN 27..124; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 126..186; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 223..284; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A085NLN2	A0A085NLN2_9BILA	ELMO domain-containing protein	M514_06896	Trichuris suis (pig whipworm)	792	DOMAIN 350..515; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A086TEZ5	A0A086TEZ5_ACRC1	Engulfment and cell motility protein-like protein	ACRE_012160	Acremonium chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	689	DOMAIN 253..432; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087QK33	A0A087QK33_APTFO	Adapter molecule crk	AS27_04288	Aptenodytes forsteri (Emperor penguin)	265	DOMAIN 93..153; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 196..257; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087QN97	A0A087QN97_APTFO	Engulfment and cell motility protein 3	AS27_01834	Aptenodytes forsteri (Emperor penguin)	683	DOMAIN 276..449; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087QQU5	A0A087QQU5_APTFO	Engulfment and cell motility protein 1	AS27_07433	Aptenodytes forsteri (Emperor penguin)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087R2K5	A0A087R2K5_APTFO	Engulfment and cell motility protein 2	AS27_11029	Aptenodytes forsteri (Emperor penguin)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087R3F0	A0A087R3F0_APTFO	Crk-like	AS27_08975	Aptenodytes forsteri (Emperor penguin)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087T468	A0A087T468_STEMI	Adapter molecule Crk	X975_11838	Stegodyphus mimosarum (African social velvet spider)	70	DOMAIN 1..62; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087T469	A0A087T469_STEMI	Adapter molecule Crk	X975_11839	Stegodyphus mimosarum (African social velvet spider)	105	DOMAIN 13..105; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A087U678	A0A087U678_STEMI	Engulfment and cell motility protein 1	X975_16840	Stegodyphus mimosarum (African social velvet spider)	347	DOMAIN 1..109; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087VKJ7	A0A087VKJ7_BALRE	Engulfment and cell motility protein 3	N312_06933	Balearica regulorum gibbericeps (East African grey crowned-crane)	700	DOMAIN 292..465; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087VLC4	A0A087VLC4_BALRE	Crk-like	N312_07891	Balearica regulorum gibbericeps (East African grey crowned-crane)	298	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 231..292; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087VP86	A0A087VP86_BALRE	Engulfment and cell motility protein 2	N312_00972	Balearica regulorum gibbericeps (East African grey crowned-crane)	709	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087XJT8	A0A087XJT8_POEFO	Engulfment and cell motility protein 1	ELMO1	Poecilia formosa (Amazon molly) (Limia formosa)	726	DOMAIN 319..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087XMR3	A0A087XMR3_POEFO	Engulfment and cell motility 3		Poecilia formosa (Amazon molly) (Limia formosa)	717	DOMAIN 309..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087Y0G4	A0A087Y0G4_POEFO	Adapter molecule crk-like		Poecilia formosa (Amazon molly) (Limia formosa)	306	DOMAIN 13..109; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 128..188; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 237..298; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087YD59	A0A087YD59_POEFO	CRK proto-oncogene, adaptor protein	CRK	Poecilia formosa (Amazon molly) (Limia formosa)	295	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 128..188; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 225..286; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087YEQ4	A0A087YEQ4_POEFO	Engulfment and cell motility 2		Poecilia formosa (Amazon molly) (Limia formosa)	728	DOMAIN 324..493; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A087YP24	A0A087YP24_POEFO	CRK like proto-oncogene, adaptor protein		Poecilia formosa (Amazon molly) (Limia formosa)	299	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 231..292; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A087YP25	A0A087YP25_POEFO	V-crk avian sarcoma virus CT10 oncogene homolog-like		Poecilia formosa (Amazon molly) (Limia formosa)	263	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A088RNY3	A0A088RNY3_9TRYP	Protein kinase, putative (EC 2.7.11.1)	CRK LPMP_160950	Leishmania panamensis	466	DOMAIN 7..438; /note="Protein kinase"; /evidence="ECO:0000259|PROSITE:PS50011"
A0A090CBV5	A0A090CBV5_PODAN	ELMO domain-containing protein		Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	768	DOMAIN 267..466; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A090KS15	A0A090KS15_STRRB	Adapter molecule Crk	SRAE_X000202800	Strongyloides ratti (Parasitic roundworm)	313	DOMAIN 22..123; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 124..184; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A090LA92	A0A090LA92_STRRB	ELMO domain-containing protein	SRAE_2000132000	Strongyloides ratti (Parasitic roundworm)	821	DOMAIN 377..569; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091D5H5	A0A091D5H5_FUKDA	Myosin-Ic	H920_13033	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	1776	DOMAIN 520..1204; /note="Myosin motor"; /evidence="ECO:0000259|PROSITE:PS51456"; DOMAIN 1358..1532; /note="TH1"; /evidence="ECO:0000259|PROSITE:PS51757"; DOMAIN 1604..1664; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 1707..1768; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091DQ66	A0A091DQ66_FUKDA	Engulfment and cell motility protein 2	H920_06194	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091DRT3	A0A091DRT3_FUKDA	Crk-like protein	H920_03877	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091DU91	A0A091DU91_FUKDA	Engulfment and cell motility protein 1	H920_12244	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	345	DOMAIN 1..110; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091E9Q3	A0A091E9Q3_CORBR	Engulfment and cell motility protein 2	N302_00249	Corvus brachyrhynchos (American crow)	701	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
